,sample,X_x,Y_x,date_x,taxon,HSI,RSI,X_y,Y_y,date_y,abundance,prediction,observation
0,0,679191,9961529,-100000000000000.0,Baetidae,0.04346222759041438,1.0,679191,9961529,-100000000000000.0,1,0.04346222759041438,1
12,1,650382,9814851,-100000000000000.0,Baetidae,0.015012017338282562,1.0,650382,9814851,-100000000000000.0,3,0.015012017338282562,1
24,2,679454,9970238,-100000000000000.0,Baetidae,0.04060601693809505,1.0,679454,9970238,-100000000000000.0,3,0.04060601693809505,1
36,3,698343,9826923,-100000000000000.0,Baetidae,0.0,1.0,698343,9826923,-100000000000000.0,5,0.0,1
48,4,662025,9811606,-100000000000000.0,Baetidae,0.0,1.0,662025,9811606,-100000000000000.0,8,0.0,1
60,5,679191,9961529,-100000000000000.0,Baetidae,0.04346222759041438,1.0,679191,9961529,-100000000000000.0,1,0.04346222759041438,1
72,6,642033,9886348,-100000000000000.0,Baetidae,0.042072364370631644,1.0,642033,9886348,-100000000000000.0,7,0.042072364370631644,1
84,7,685948,9764845,-100000000000000.0,Baetidae,0.028178720919911526,1.0,685948,9764845,-100000000000000.0,1,0.028178720919911526,1
96,8,688300,9781411,-100000000000000.0,Baetidae,0.04029341969257559,1.0,688300,9781411,-100000000000000.0,4,0.04029341969257559,1
108,9,638001,9827048,-100000000000000.0,Baetidae,0.023854992061213064,1.0,638001,9827048,-100000000000000.0,1,0.023854992061213064,1
120,10,634440,9899731,-100000000000000.0,Baetidae,0.025172430341896954,1.0,634440,9899731,-100000000000000.0,3,0.025172430341896954,1
132,11,705744,9802662,-100000000000000.0,Baetidae,0.0,1.0,705744,9802662,-100000000000000.0,2,0.0,1
144,12,687108,9857931,-100000000000000.0,Baetidae,0.0,1.0,687108,9857931,-100000000000000.0,17,0.0,1
156,13,660135,9951898,-100000000000000.0,Baetidae,0.005701589891842652,1.0,660135,9951898,-100000000000000.0,1,0.005701589891842652,1
168,14,638001,9827048,-100000000000000.0,Baetidae,0.023854992061213064,1.0,638001,9827048,-100000000000000.0,1,0.023854992061213064,1
180,15,675727,9859882,-100000000000000.0,Baetidae,0.005095655778331728,1.0,675727,9859882,-100000000000000.0,1,0.005095655778331728,1
192,16,671143,9840716,-100000000000000.0,Baetidae,0.0056868271144408945,1.0,671143,9840716,-100000000000000.0,62,0.0056868271144408945,1
204,17,688228,9782851,-100000000000000.0,Baetidae,0.024561261230493837,1.0,688228,9782851,-100000000000000.0,16,0.024561261230493837,1
216,18,652784,9903098,-100000000000000.0,Baetidae,0.014465778113691825,1.0,652784,9903098,-100000000000000.0,15,0.014465778113691825,1
227,19,660727,9947422,-100000000000000.0,Baetidae,0.10925355343114411,1.0,660727,9947422,-100000000000000.0,1,0.10925355343114411,1
239,20,703765,9803864,-100000000000000.0,Baetidae,0.0,1.0,703765,9803864,-100000000000000.0,2,0.0,1
251,21,633405,9898770,-100000000000000.0,Baetidae,0.03408100480900372,1.0,633405,9898770,-100000000000000.0,1,0.03408100480900372,1
263,22,612711,9810720,-100000000000000.0,Baetidae,0.03106145330187642,1.0,612711,9810720,-100000000000000.0,1,0.03106145330187642,1
274,23,630387,9886688,-100000000000000.0,Baetidae,0.021169242523603127,1.0,630387,9886688,-100000000000000.0,43,0.021169242523603127,1
286,24,660135,9951898,-100000000000000.0,Baetidae,0.005701589891842652,1.0,660135,9951898,-100000000000000.0,1,0.005701589891842652,1
298,25,682196,9762955,-100000000000000.0,Baetidae,0.0,1.0,682196,9762955,-100000000000000.0,11,0.0,1
310,26,585079,9823896,-100000000000000.0,Baetidae,0.02525388638058686,1.0,585079,9823896,-100000000000000.0,10,0.02525388638058686,1
322,27,681018,9957318,-100000000000000.0,Baetidae,0.045099986743723834,1.0,681018,9957318,-100000000000000.0,3,0.045099986743723834,1
334,28,645126,9885371,-100000000000000.0,Baetidae,0.02307720816981461,1.0,645126,9885371,-100000000000000.0,6,0.02307720816981461,1
346,29,641521,9829716,-100000000000000.0,Baetidae,0.03223060907385597,1.0,641521,9829716,-100000000000000.0,25,0.03223060907385597,1
358,30,646789,9911341,-100000000000000.0,Baetidae,0.02704755475438076,1.0,646789,9911341,-100000000000000.0,10,0.02704755475438076,1
370,31,638001,9827048,-100000000000000.0,Baetidae,0.023854992061213064,1.0,638001,9827048,-100000000000000.0,1,0.023854992061213064,1
382,32,630387,9886688,-100000000000000.0,Baetidae,0.021169242523603127,1.0,630387,9886688,-100000000000000.0,43,0.021169242523603127,1
394,33,675727,9859882,-100000000000000.0,Baetidae,0.005095655778331728,1.0,675727,9859882,-100000000000000.0,1,0.005095655778331728,1
406,34,673369,9944638,-100000000000000.0,Baetidae,0.012596553166631138,1.0,673369,9944638,-100000000000000.0,2,0.012596553166631138,1
418,35,649233,9901117,-100000000000000.0,Baetidae,0.012620345860961961,1.0,649233,9901117,-100000000000000.0,2,0.012620345860961961,1
429,36,639402,9898006,-100000000000000.0,Baetidae,0.06929425619709349,1.0,639402,9898006,-100000000000000.0,14,0.06929425619709349,1
441,37,645126,9885371,-100000000000000.0,Baetidae,0.02307720816981461,1.0,645126,9885371,-100000000000000.0,6,0.02307720816981461,1
453,38,714146,9759451,-100000000000000.0,Baetidae,0.09102809713706704,1.0,714146,9759451,-100000000000000.0,12,0.09102809713706704,1
465,39,660727,9947422,-100000000000000.0,Baetidae,0.10925355343114411,1.0,660727,9947422,-100000000000000.0,1,0.10925355343114411,1
477,40,656469,9907062,-100000000000000.0,Baetidae,0.011766318871874583,1.0,656469,9907062,-100000000000000.0,2,0.011766318871874583,1
488,41,641692,9902226,-100000000000000.0,Baetidae,0.03973901175177136,1.0,641692,9902226,-100000000000000.0,8,0.03973901175177136,1
500,42,660135,9951898,-100000000000000.0,Baetidae,0.005701589891842652,1.0,660135,9951898,-100000000000000.0,1,0.005701589891842652,1
512,43,679784,9868025,-100000000000000.0,Baetidae,0.0062101005933247935,1.0,679784,9868025,-100000000000000.0,3,0.0062101005933247935,1
524,44,639402,9898006,-100000000000000.0,Baetidae,0.06929425619709349,1.0,639402,9898006,-100000000000000.0,14,0.06929425619709349,1
536,45,703346,9804948,-100000000000000.0,Baetidae,0.0,1.0,703346,9804948,-100000000000000.0,3,0.0,1
548,46,694230,9819688,-100000000000000.0,Baetidae,0.0,1.0,694230,9819688,-100000000000000.0,3,0.0,1
560,47,703765,9803864,-100000000000000.0,Baetidae,0.0,1.0,703765,9803864,-100000000000000.0,2,0.0,1
572,48,673369,9944638,-100000000000000.0,Baetidae,0.012596553166631138,1.0,673369,9944638,-100000000000000.0,2,0.012596553166631138,1
584,49,654406,9903081,-100000000000000.0,Baetidae,0.006237926433110134,1.0,654406,9903081,-100000000000000.0,18,0.006237926433110134,1
595,50,642033,9886348,-100000000000000.0,Baetidae,0.042072364370631644,1.0,642033,9886348,-100000000000000.0,7,0.042072364370631644,1
607,51,708507,9756366,-100000000000000.0,Baetidae,0.0,1.0,708507,9756366,-100000000000000.0,3,0.0,1
619,52,674793,9756336,-100000000000000.0,Baetidae,0.03966261148254837,1.0,674793,9756336,-100000000000000.0,2,0.03966261148254837,1
631,53,660727,9947422,-100000000000000.0,Baetidae,0.10925355343114411,1.0,660727,9947422,-100000000000000.0,1,0.10925355343114411,1
643,54,708507,9756366,-100000000000000.0,Baetidae,0.0,1.0,708507,9756366,-100000000000000.0,3,0.0,1
655,55,642033,9886348,-100000000000000.0,Baetidae,0.042072364370631644,1.0,642033,9886348,-100000000000000.0,7,0.042072364370631644,1
667,56,655786,9905816,-100000000000000.0,Baetidae,0.01610432463930169,1.0,655786,9905816,-100000000000000.0,5,0.01610432463930169,1
678,57,644904,9907968,-100000000000000.0,Baetidae,0.02738505857986352,1.0,644904,9907968,-100000000000000.0,1,0.02738505857986352,1
690,58,655325,9911206,-100000000000000.0,Baetidae,0.01397991083623622,1.0,655325,9911206,-100000000000000.0,1,0.01397991083623622,1
701,59,690578,9802304,-100000000000000.0,Baetidae,0.07030021972186984,1.0,690578,9802304,-100000000000000.0,2,0.07030021972186984,1
713,60,654406,9903081,-100000000000000.0,Baetidae,0.006237926433110134,1.0,654406,9903081,-100000000000000.0,18,0.006237926433110134,1
724,61,688300,9781411,-100000000000000.0,Baetidae,0.04029341969257559,1.0,688300,9781411,-100000000000000.0,4,0.04029341969257559,1
736,62,612711,9810720,-100000000000000.0,Baetidae,0.03106145330187642,1.0,612711,9810720,-100000000000000.0,1,0.03106145330187642,1
747,63,714146,9759451,-100000000000000.0,Baetidae,0.09102809713706704,1.0,714146,9759451,-100000000000000.0,12,0.09102809713706704,1
759,64,704692,9826022,-100000000000000.0,Baetidae,0.36466173112894645,1.0,704692,9826022,-100000000000000.0,0,0.36466173112894645,0
771,65,655357,9911902,-100000000000000.0,Baetidae,0.01095998897617733,1.0,655357,9911902,-100000000000000.0,0,0.01095998897617733,0
782,66,642612,9903353,-100000000000000.0,Baetidae,0.02809632775017666,1.0,642612,9903353,-100000000000000.0,0,0.02809632775017666,0
794,67,704692,9826022,-100000000000000.0,Baetidae,0.36466173112894645,1.0,704692,9826022,-100000000000000.0,0,0.36466173112894645,0
806,68,586175,9801104,-100000000000000.0,Baetidae,0.03449962835181397,1.0,586175,9801104,-100000000000000.0,0,0.03449962835181397,0
818,69,639213,9900945,-100000000000000.0,Baetidae,0.009427531394192923,1.0,639213,9900945,-100000000000000.0,0,0.009427531394192923,0
830,70,584703,9819470,-100000000000000.0,Baetidae,0.0,1.0,584703,9819470,-100000000000000.0,0,0.0,0
842,71,639139,9901583,-100000000000000.0,Baetidae,0.02123233263739409,1.0,639139,9901583,-100000000000000.0,0,0.02123233263739409,0
854,72,677242,9944586,-100000000000000.0,Baetidae,0.014283875148011143,1.0,677242,9944586,-100000000000000.0,0,0.014283875148011143,0
866,73,648585,9885921,-100000000000000.0,Baetidae,0.016993778938688326,1.0,648585,9885921,-100000000000000.0,0,0.016993778938688326,0
878,74,584703,9819470,-100000000000000.0,Baetidae,0.0,1.0,584703,9819470,-100000000000000.0,0,0.0,0
890,75,635599,9901614,-100000000000000.0,Baetidae,0.026513590555121844,1.0,635599,9901614,-100000000000000.0,0,0.026513590555121844,0
902,76,704692,9826022,-100000000000000.0,Baetidae,0.36466173112894645,1.0,704692,9826022,-100000000000000.0,0,0.36466173112894645,0
914,77,683690,9763520,-100000000000000.0,Baetidae,0.029791615759767565,1.0,683690,9763520,-100000000000000.0,0,0.029791615759767565,0
926,78,688888,9767770,-100000000000000.0,Baetidae,0.027948733866431708,1.0,688888,9767770,-100000000000000.0,0,0.027948733866431708,0
938,79,660326,9798315,-100000000000000.0,Baetidae,0.07829339554483494,1.0,660326,9798315,-100000000000000.0,0,0.07829339554483494,0
950,80,680080,9842110,-100000000000000.0,Baetidae,0.03841132930909475,1.0,680080,9842110,-100000000000000.0,0,0.03841132930909475,0
962,81,660316,9790963,-100000000000000.0,Baetidae,0.09566222722530072,1.0,660316,9790963,-100000000000000.0,0,0.09566222722530072,0
974,82,585663,9831265,-100000000000000.0,Baetidae,0.0175573655571609,1.0,585663,9831265,-100000000000000.0,0,0.0175573655571609,0
986,83,662501,9946057,-100000000000000.0,Baetidae,0.01557054824687523,1.0,662501,9946057,-100000000000000.0,0,0.01557054824687523,0
998,84,689952,9764180,-100000000000000.0,Baetidae,0.0,1.0,689952,9764180,-100000000000000.0,0,0.0,0
1010,85,678422,9762674,-100000000000000.0,Baetidae,0.0,1.0,678422,9762674,-100000000000000.0,0,0.0,0
1022,86,687899,9866116,-100000000000000.0,Baetidae,0.02498634105282924,1.0,687899,9866116,-100000000000000.0,0,0.02498634105282924,0
1034,87,687544,9932384,-100000000000000.0,Baetidae,0.011646079775446018,1.0,687544,9932384,-100000000000000.0,0,0.011646079775446018,0
1046,88,637089,9901117,-100000000000000.0,Baetidae,0.025063653735618224,1.0,637089,9901117,-100000000000000.0,0,0.025063653735618224,0
1058,89,584703,9819470,-100000000000000.0,Baetidae,0.0,1.0,584703,9819470,-100000000000000.0,0,0.0,0
1070,90,586330,9816671,-100000000000000.0,Baetidae,0.0024932179732275943,1.0,586330,9816671,-100000000000000.0,0,0.0024932179732275943,0
1082,91,704100,9825543,-100000000000000.0,Baetidae,0.0,1.0,704100,9825543,-100000000000000.0,0,0.0,0
1094,92,633831,9908639,-100000000000000.0,Baetidae,0.03358773570779478,1.0,633831,9908639,-100000000000000.0,0,0.03358773570779478,0
1103,93,635599,9901614,-100000000000000.0,Baetidae,0.026513590555121844,1.0,635599,9901614,-100000000000000.0,0,0.026513590555121844,0
1115,94,640291,9901484,-100000000000000.0,Baetidae,0.04071890995736929,1.0,640291,9901484,-100000000000000.0,0,0.04071890995736929,0
1127,95,656713,9906694,-100000000000000.0,Baetidae,0.014147291426009989,1.0,656713,9906694,-100000000000000.0,0,0.014147291426009989,0
1138,96,683594,9934449,-100000000000000.0,Baetidae,0.0,1.0,683594,9934449,-100000000000000.0,0,0.0,0
1150,97,686015,9763355,-100000000000000.0,Baetidae,0.0,1.0,686015,9763355,-100000000000000.0,0,0.0,0
1162,98,680080,9842110,-100000000000000.0,Baetidae,0.03841132930909475,1.0,680080,9842110,-100000000000000.0,0,0.03841132930909475,0
1174,99,635599,9901614,-100000000000000.0,Baetidae,0.026513590555121844,1.0,635599,9901614,-100000000000000.0,0,0.026513590555121844,0
1186,100,648585,9885921,-100000000000000.0,Baetidae,0.016993778938688326,1.0,648585,9885921,-100000000000000.0,0,0.016993778938688326,0
1198,101,664370,9801174,-100000000000000.0,Baetidae,0.0,1.0,664370,9801174,-100000000000000.0,0,0.0,0
1210,102,626510,9792974,-100000000000000.0,Baetidae,0.0,1.0,626510,9792974,-100000000000000.0,0,0.0,0
1222,103,656787,9784258,-100000000000000.0,Baetidae,0.08762941322577907,1.0,656787,9784258,-100000000000000.0,0,0.08762941322577907,0
1234,104,670892,9886421,-100000000000000.0,Baetidae,0.028072445681927048,1.0,670892,9886421,-100000000000000.0,0,0.028072445681927048,0
1246,105,664370,9801174,-100000000000000.0,Baetidae,0.0,1.0,664370,9801174,-100000000000000.0,0,0.0,0
1258,106,648585,9885921,-100000000000000.0,Baetidae,0.016993778938688326,1.0,648585,9885921,-100000000000000.0,0,0.016993778938688326,0
1270,107,685621,9822847,-100000000000000.0,Baetidae,0.010848268717831507,1.0,685621,9822847,-100000000000000.0,0,0.010848268717831507,0
1282,108,585663,9831265,-100000000000000.0,Baetidae,0.0175573655571609,1.0,585663,9831265,-100000000000000.0,0,0.0175573655571609,0
1294,109,639139,9901583,-100000000000000.0,Baetidae,0.02123233263739409,1.0,639139,9901583,-100000000000000.0,0,0.02123233263739409,0
1306,110,677242,9944586,-100000000000000.0,Baetidae,0.014283875148011143,1.0,677242,9944586,-100000000000000.0,0,0.014283875148011143,0
1318,111,670892,9886421,-100000000000000.0,Baetidae,0.028072445681927048,1.0,670892,9886421,-100000000000000.0,0,0.028072445681927048,0
1330,112,626510,9792974,-100000000000000.0,Baetidae,0.0,1.0,626510,9792974,-100000000000000.0,0,0.0,0
1342,113,586780,9803668,-100000000000000.0,Baetidae,0.0,1.0,586780,9803668,-100000000000000.0,0,0.0,0
1354,114,584703,9819470,-100000000000000.0,Baetidae,0.0,1.0,584703,9819470,-100000000000000.0,0,0.0,0
1366,115,687544,9932384,-100000000000000.0,Baetidae,0.011646079775446018,1.0,687544,9932384,-100000000000000.0,0,0.011646079775446018,0
1378,116,656713,9906694,-100000000000000.0,Baetidae,0.014147291426009989,1.0,656713,9906694,-100000000000000.0,0,0.014147291426009989,0
1389,117,688888,9767770,-100000000000000.0,Baetidae,0.027948733866431708,1.0,688888,9767770,-100000000000000.0,0,0.027948733866431708,0
1401,118,677318,9932164,-100000000000000.0,Baetidae,0.057691003521711255,1.0,677318,9932164,-100000000000000.0,0,0.057691003521711255,0
1413,119,685621,9822847,-100000000000000.0,Baetidae,0.010848268717831507,1.0,685621,9822847,-100000000000000.0,0,0.010848268717831507,0
