,Unnamed: 0,taxon,value,type,b1,b2,b3,b4,low,high,a1,a2,a3,a4,variable
7,7,Baetidae,,continuous,5.0,22.5,8.73,60.0,5.0,117.6,5.0,8.73,22.5,60.0,COD
3,3,Baetidae,,continuous,0.73,5.6725,1.9225,25.43,0.73,66.84,0.73,1.9225,5.6725,25.43,Chlorophyll
4,4,Baetidae,,continuous,0.53,3.7725,1.86,55.84,0.53,181.74,0.53,1.86,3.7725,55.84,Cl-
5,5,Baetidae,,continuous,1.97,8.2725,6.5875,10.65,1.97,13.63,1.97,6.5875,8.2725,10.65,DO
11,11,Baetidae,,continuous,3.0,165.0,43.5,1075.0,2.0,1075.0,3.0,43.5,165.0,1075.0,Elevation
9,9,Baetidae,,continuous,0.02,0.095,0.03,1.26,0.015,8.8,0.02,0.03,0.095,1.26,NH4+-N
8,8,Baetidae,,continuous,0.23,0.29,0.23,0.95,0.23,2.0,0.23,0.23,0.29,0.95,NO3--N
6,6,Baetidae,,continuous,0.2,5.07,1.3725,85.43,0.0,355.63,0.2,1.3725,5.07,85.43,Turbidity
2,2,Baetidae,,continuous,6.69,8.16,7.18,8.8,6.56,8.87,6.69,7.18,8.16,8.8,pH
